,Total population,Hispanic or Latino,One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1000, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 101, San Francisco County, California",44,1,44,36,3,0,4,0,1,0
"Block 1002, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,0,1,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1006, Block Group 1, Census Tract 101, San Francisco County, California",2,0,2,2,0,0,0,0,0,0
"Block 1007, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 1010, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,0,0,0,1,0,0,0
"Block 1012, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1013, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1014, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1016, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0
"Block 1017, Block Group 1, Census Tract 101, San Francisco County, California",200,8,199,123,7,1,64,1,3,1
"Block 1018, Block Group 1, Census Tract 101, San Francisco County, California",1,0,1,1,0,0,0,0,0,0
"Block 1019, Block Group 1, Census Tract 101, San Francisco County, California",389,32,377,255,13,1,101,0,7,12
